                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.4124,                 1.5299,                 1.7551,                0.59816,                0.65351,                0.67148,                0.33223,                 1.6513,                  1.569,                 1.9889,              0.0075993,              0.0075993,              0.0075993
                    100,                 1.4188,                 1.5324,                 1.7537,                0.55709,                0.68193,                0.67014,                0.35199,                 1.6102,                 1.5779,                 1.9385,              0.0075745,              0.0075745,              0.0075745
                    101,                 1.4119,                 1.4962,                 1.7394,                0.57407,                0.65089,                0.66438,                0.33827,                 1.6356,                 1.5558,                 2.0013,              0.0075498,              0.0075498,              0.0075498
                    102,                 1.4126,                 1.5298,                 1.7626,                0.59042,                0.64935,                0.65671,                 0.3431,                 1.6282,                 1.5599,                 1.9618,               0.007525,               0.007525,               0.007525
                    103,                 1.3966,                 1.5092,                 1.7392,                0.59069,                0.64021,                0.67773,                0.35409,                 1.6207,                 1.4905,                 1.9527,              0.0075003,              0.0075003,              0.0075003
                    104,                 1.3968,                 1.5015,                 1.7505,                0.54496,                0.68496,                0.68377,                0.34392,                 1.6594,                 1.5259,                 2.0143,              0.0074755,              0.0074755,              0.0074755
                    105,                 1.4192,                   1.53,                 1.7632,                0.58135,                0.65743,                0.68401,                0.34958,                  1.602,                 1.5856,                 1.9765,              0.0074507,              0.0074507,              0.0074507
                    106,                 1.4042,                 1.4925,                 1.7501,                 0.5896,                  0.661,                0.68997,                 0.3572,                 1.5995,                  1.537,                 1.9661,               0.007426,               0.007426,               0.007426
                    107,                 1.3974,                 1.4996,                 1.7459,                0.55778,                0.65717,                0.65927,                0.34059,                 1.6232,                 1.5762,                 1.9894,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.4046,                 1.4996,                  1.737,                0.61565,                0.66598,                0.69227,                0.36225,                 1.6212,                 1.4933,                  1.981,              0.0073765,              0.0073765,              0.0073765
                    109,                 1.3965,                 1.4991,                 1.7438,                0.55937,                0.64733,                0.67736,                0.36556,                 1.6034,                 1.5325,                 1.9461,              0.0073517,              0.0073517,              0.0073517
                    110,                 1.3949,                 1.4914,                 1.7396,                0.52791,                0.68626,                0.67785,                0.34549,                 1.6204,                 1.5071,                 2.0021,               0.007327,               0.007327,               0.007327
                    111,                 1.3797,                 1.4691,                 1.7369,                0.55016,                0.68196,                 0.6757,                0.34734,                 1.6429,                 1.6265,                 1.9894,              0.0073023,              0.0073023,              0.0073023
                    112,                 1.3751,                 1.4728,                 1.7216,                0.57029,                0.67466,                 0.6904,                0.35212,                 1.6369,                 1.5132,                 2.0025,              0.0072775,              0.0072775,              0.0072775
                    113,                 1.3716,                 1.4561,                 1.7278,                0.57975,                0.69201,                0.68495,                0.35289,                 1.6319,                 1.5009,                 1.9892,              0.0072527,              0.0072527,              0.0072527
                    114,                 1.3879,                 1.4786,                 1.7379,                0.59026,                0.69332,                0.69037,                0.34735,                 1.6255,                 1.5757,                 1.9949,               0.007228,               0.007228,               0.007228
                    115,                 1.3652,                 1.4558,                  1.709,                0.62844,                0.65545,                0.68517,                0.35048,                 1.6338,                 1.4912,                 1.9941,              0.0072033,              0.0072033,              0.0072033
                    116,                  1.404,                 1.4852,                 1.7353,                0.58206,                0.66637,                0.67393,                 0.3558,                 1.5625,                 1.5172,                 1.9348,              0.0071785,              0.0071785,              0.0071785
                    117,                 1.3596,                 1.4603,                 1.6943,                 0.5571,                0.67935,                0.67551,                0.35068,                 1.6392,                 1.4608,                 1.9625,              0.0071538,              0.0071538,              0.0071538
                    118,                 1.3884,                 1.4777,                 1.7291,                0.62044,                0.65719,                0.70278,                0.36377,                 1.6075,                 1.4653,                 1.9613,               0.007129,               0.007129,               0.007129
                    119,                 1.3849,                 1.4664,                 1.7287,                0.58951,                0.69188,                0.71578,                0.37331,                  1.574,                 1.4283,                 1.9352,              0.0071042,              0.0071042,              0.0071042
